Location,Male,Female,Both Sexes
Republic of Korea,2.85,2.05,4.90
Lao People's Democratic Republic,113.00,88.91,202.00
Mongolia,24.39,18.39,42.78
Malaysia,31.19,25.33,56.52
New Zealand,0.89,0.75,1.63
Philippines,838.60,627.30,1466.00
Papua New Guinea,54.71,30.22,84.93
Singapore,1.21,0.68,1.89
Solomon Islands,2.23,1.58,3.80
Tonga,0.14,0.19,0.32
Viet Nam,386.30,243.70,630.00
Vanuatu,1.60,1.38,2.99
Samoa,0.20,0.22,0.42
